county_code,district_code,school_code,v,CDSCode,Longitude,Latitude
01,61200,0130393,-0.5772783836184487,01612000130393,-121.73987,37.677172
01,61200,0132670,0.10147080677315631,01612000132670,-121.76674,37.678902
01,61200,0133397,-0.5699648393449168,01612000133397,-121.78984,37.675206
01,61200,0134536,-0.6878310635682879,01612000134536,-121.76173,37.680526
01,61200,0135376,-0.34550197012387074,01612000135376,-121.77057,37.690107
01,61200,6001234,-0.7383922165744932,01612006001234,-121.76704,37.687022
01,61200,6001242,-0.7902219985064828,01612006001242,-121.75005,37.679821
01,61200,6001259,-0.2641568174915248,01612006001259,-121.7964,37.667168
01,61200,6001283,-0.5773466883951933,01612006001283,-121.74262,37.684923
01,61200,6001291,-0.6928456628828591,01612006001291,-121.7835,37.669568
01,61200,6001317,-0.29506686994498144,01612006001317,-121.78603,37.683866
01,61200,6001341,-0.30446478870823135,01612006001341,-121.79221,37.664505
01,61200,6071906,-0.5527202208343661,01612006071906,-121.72854,37.68367
01,61200,6085773,-0.46464274482693413,01612006085773,-121.72852,37.726489
01,61200,6089338,-0.7825887194205174,01612006089338,-121.80427,37.688959
01,61200,6097661,-0.2764973233997581,01612006097661,-121.77335,37.662609
01,61200,6110332,-0.5612596359484733,01612006110332,-121.72833,37.717069
01,61200,6117543,-0.5319547398271424,01612006117543,-121.71838,37.722319
01,61234,0130054,-0.5059300241553197,01612340130054,-122.00175,37.522095
01,61234,6001457,-0.6713466590211772,01612346001457,-122.03169,37.542292
01,61234,6001473,-0.49956308920445697,01612346001473,-122.05046,37.542892
01,61234,6001481,-0.4814316208416879,01612346001481,-122.04239,37.538506
01,61234,6001507,-0.06605228773364018,01612346001507,-122.04247,37.551671
01,61234,6001523,-0.4217141646948669,01612346001523,-122.05195,37.535889
01,61234,6001531,-0.5730129797330747,01612346001531,-122.02246,37.533967
01,61234,6102917,-0.589302898244449,01612346102917,-122.03685,37.542979
01,61242,0134668,-0.43121083972859764,01612420134668,-122.02604,37.592494
01,61242,6001572,-0.650336509677367,01612426001572,-122.07693,37.595622
01,61242,6001622,-0.8876749594136306,01612426001622,-122.02717,37.596063
01,61242,6068266,-0.19249089850888196,01612426068266,-122.08036,37.591746
01,61242,6097679,-0.3712922698359915,01612426097679,-122.04735,37.590189
01,61242,6101604,0.05747413564007233,01612426101604,-122.07167,37.572076
01,61242,6115505,-0.006763042925555487,01612426115505,-122.04979,37.601467
01,61242,6115554,-0.25890670782495756,01612426115554,-122.01592,37.602005
01,61242,6118525,-0.08768875720769875,01612426118525,-122.07483,37.566838
01,61259,0106906,0.25504777414341695,01612590106906,-122.15439,37.766251
01,61259,0110247,-1.392751246310921,01612590110247,-122.2239,37.792204
01,61259,0114363,0.4253063631021474,01612590114363,-122.26548,37.800368
01,61259,0115014,0.33670552699604167,01612590115014,-122.27916,37.810323
01,61259,0115626,0.07903223354072533,01612590115626,-122.28272,37.80873
01,61259,0129932,-0.9636639882580272,01612590129932,-122.14121,37.746172
01,61259,0130617,0.630572414190431,01612590130617,-122.27234,37.829395
01,61259,0130633,0.04676269525675896,01612590130633,-122.19663,37.73705
01,61259,0136051,-0.4751654391630896,01612590136051,-122.25413,37.831725
01,61259,0137943,-0.9419560978359893,01612590137943,-122.1636,37.797495
01,61259,3030772,-0.6174913290963895,01612593030772,-122.27113,37.807834
01,61259,6001648,-0.4397635661834028,01612596001648,-122.24293,37.850664
01,61259,6001739,-0.6618225758581215,01612596001739,-122.24405,37.804369
01,61259,6001754,-0.10521088863476094,01612596001754,-122.22738,37.811364
01,61259,6001853,-0.7289382460229887,01612596001853,-122.21877,37.805477
01,61259,6001895,-0.5994754692531385,01612596001895,-122.23181,37.853077
01,61259,6001911,0.14513785969424026,01612596001911,-122.23287,37.840442
01,61259,6001945,-0.34919566218015796,01612596001945,-122.20177,37.818545
01,61259,6001978,-0.6211014558243567,01612596001978,-122.28272,37.808393
01,61259,6002083,-0.5324752718454255,01612596002083,-122.21281,37.831092
01,61259,6002109,-0.31961830664761637,01612596002109,-122.25881,37.848963
01,61259,6002141,-0.7475334816767409,01612596002141,-122.18626,37.797077
01,61259,6002174,-0.7515151242264693,01612596002174,-122.21141,37.802314
01,61259,6002216,-0.3056845431795523,01612596002216,-122.21152,37.836187
01,61259,6056998,-0.8208928631869937,01612596056998,-122.20652,37.800579
01,61259,6057004,-0.6731573522238781,01612596057004,-122.25184,37.845752
01,61259,6057061,-0.9560036138340462,01612596057061,-122.22954,37.803854
01,61259,6057079,-0.849063302123734,01612596057079,-122.2016,37.818785
01,61259,6057087,0.6161246935909126,01612596057087,-122.23793,37.789693
01,61259,6057095,-0.08402403929934557,01612596057095,-122.25991,37.814592
01,61259,6117972,-0.969183572058721,01612596117972,-122.27624,37.832839
01,61259,6118640,-1.036090080669254,01612596118640,-122.19779,37.780326
01,61275,0136515,-1.1025424299900046,01612750136515,-122.2329,37.823674
01,61275,6002281,-0.24790424127955243,01612756002281,-122.24614,37.82381
01,61275,6002299,-0.6828958659289794,01612756002299,-122.23263,37.825712
01,61275,6002307,-0.3127294416238203,01612756002307,-122.23495,37.819701
01,61275,6066492,-0.27799212613419116,01612756066492,-122.23354,37.823132
01,61291,0137588,-0.48744078105997357,01612910137588,-122.14256,37.717128
01,61291,6002372,-0.3547301127606963,01612916002372,-122.18606,37.70401
01,61291,6002398,-0.4916603673949702,01612916002398,-122.13591,37.712441
01,61291,6002414,-0.37557692778235063,01612916002414,-122.16045,37.69549
01,61291,6002422,-0.00485963311741841,01612916002422,-122.14747,37.718877
01,61291,6002430,0.2294165910842318,01612916002430,-122.1462,37.698154
01,61291,6002448,-0.810541824122317,01612916002448,-122.14676,37.736384
01,61291,6002463,-0.517647550767395,01612916002463,-122.16573,37.715169
01,61291,6057111,-0.641872837665987,01612916057111,-122.14863,37.729173
01,61291,6066518,-0.0871722168972696,01612916066518,-122.16817,37.714146
01,61309,0101212,-0.41624640194845075,01613090101212,-122.15009,37.674319
01,61309,0130849,-0.2566622455747578,01613090130849,-122.13836,37.68081
01,61309,0137810,-0.028649356445556214,01613090137810,-122.12255999999999,37.686688
01,61309,6002505,-0.8964309223460861,01613096002505,-122.14738,37.671559
01,61309,6002513,-0.17121077791173103,01613096002513,-122.12819,37.6708
01,61309,6002539,-0.20607065339704528,01613096002539,-122.15235,37.696617
01,61309,6002547,0.0333224680258796,01613096002547,-122.15719,37.687925
01,61309,6002554,-0.31685133339504223,01613096002554,-122.13657,37.668638
01,61309,6002562,-0.15558236381617388,01613096002562,-122.11892,37.69527
01,61309,6002604,-0.4014729026514993,01613096002604,-122.13504,37.680371
01,61309,6002612,-0.26539603967708075,01613096002612,-122.12531,37.694016
01,61309,6002653,-0.5949100108230921,01613096002653,-122.11946,37.674293
01,61309,6002703,-0.20834594025447792,01613096002703,-122.14812,37.68842
01,75093,0114579,0.2306280314398747,01750930114579,-121.8615,37.7181
01,75093,0123935,-0.4472071404893437,01750930123935,-121.8587,37.71193
01,75093,0125930,-0.45508342264270607,01750930125930,-121.86589,37.71566
01,75093,0131615,-0.1714282527548302,01750930131615,-121.84565,37.717296
01,75093,0132704,-0.35873478477271753,01750930132704,-121.92639,37.720996
01,75093,6001374,-0.6409688781034514,01750936001374,-121.9365,37.715023
01,75093,6001390,-0.1979717778304295,01750936001390,-121.92195,37.715077
01,75093,6001424,-0.67233862413521694,01750936001424,-121.93298,37.72154
01,75093,6066484,-0.49467678178897734,01750936066484,-121.9188,37.712563
01,75093,6118038,-0.5302754013422372,01750936118038,-121.88512,37.71039
01,75101,0130096,-0.4040139077179039,01751010130096,-121.91994,37.671579
01,75101,0130583,-0.5715609349690369,01751010130583,-121.87327,37.668296
01,75101,6001366,-0.10607717688161594,01751016001366,-121.90908,37.684111
01,75101,6001416,-0.394920564684654,01751016001416,-121.9216,37.680987
01,75101,6002315,-0.6768117532292421,01751016002315,-121.87207,37.672366
01,75101,6002323,-0.7651485515511576,01751016002323,-121.87433,37.692602
01,75101,6002349,-0.7898085864943167,01751016002349,-121.86362,37.659868
01,75101,6002356,0.22700144915151915,01751016002356,-121.88537,37.673219
01,75101,6066500,-0.6160470552833975,01751016066500,-121.88268,37.675555
01,75101,6089361,-0.30771894024504304,01751016089361,-121.85501,37.655902
01,75101,6108971,-0.49222749875395616,01751016108971,-121.88156,37.65696
01,75101,6114318,-0.4111266280969592,01751016114318,-121.86011,37.692501
01,75101,6117592,-0.3348335469433771,01751016117592,-121.89828,37.685426
01,75101,6117600,-0.45897932625450305,01751016117600,-121.88432,37.65245
01,75119,6002711,-0.3381908339772174,01751196002711,-121.8851,37.593598
03,10033,0330068,0.11014930013837163,03100330330068,-120.77703,38.352665
03,73981,0330753,-0.5852464335570857,03739810330753,-120.8097,38.398775
03,73981,0334755,-0.45342362534379116,03739810334755,-120.79177,38.353826
03,73981,6002810,-0.5886883276942011,03739816002810,-120.93162,38.350283
03,73981,6002828,-0.1808271959598743,03739816002828,-120.77315,38.351566
03,73981,6002844,-0.1852212283741316,03739816002844,-120.65362,38.41307
03,73981,6002851,-0.10629599906697149,03739816002851,-120.547,38.436259
03,73981,6002869,-0.22401086279880086,03739816002869,-120.85173,38.480149
03,73981,6002877,-0.23516842263640153,03739816002877,-120.80993,38.398764
03,73981,6107387,0.01020020241658698,03739816107387,-120.77903,38.35273
03,73981,6107395,-0.27785486272099985,03739816107395,-120.77703,38.352665
04,10041,0114991,-0.216908246182371,04100410114991,-121.78913,39.705892
04,10041,0430090,-0.14689356948735072,04100410430090,-121.5783,39.525713
04,61408,0430827,0.059846514243720686,04614080430827,-121.70642,39.416091
04,61408,6002943,-0.3151171588031168,04614086002943,-121.7038,39.414988
04,61424,0110551,-0.37056800798350054,04614240110551,-121.95564,39.780779
04,61424,0121475,-0.6886456091251418,04614240121475,-121.81579,39.727452
04,61424,0123810,-0.33333277023865204,04614240123810,-121.84361,39.758527
04,61424,0123976,0.14791464603759344,04614240123976,-121.85846,39.758466
04,61424,0430199,0.20273244694372572,04614240430199,-121.85846,39.758466
04,61424,0431502,-0.25159197494596836,04614240431502,-121.85785,39.758826
04,61424,0431676,-0.5107171625639659,04614240431676,-121.84452,39.735929
04,61424,0437558,-0.3234741980641404,04614240437558,-121.81713,39.76116
04,61424,6002968,0.10131308583374758,04614246002968,-121.81551,39.726166
04,61424,6002976,-0.1292650864073839,04614246002976,-121.8524,39.738519
04,61424,6003008,-0.3532349642860814,04614246003008,-121.83759,39.743774
04,61424,6003024,-0.3181053402029618,04614246003024,-121.83962,39.76092
04,61424,6003032,-0.536504915275785,04614246003032,-121.81519,39.760538
04,61424,6003040,-0.33456704380501356,04614246003040,-121.8329,39.748937
04,61424,6003073,-0.7893373432885844,04614246003073,-121.81299,39.741471
04,61424,6003081,-0.7028362997937929,04614246003081,-121.851,39.723827
04,61424,6003099,-0.6394002002785812,04614246003099,-121.88391,39.780298
04,61424,6003107,-0.15003195328596747,04614246003107,-121.81155,39.7502
04,61424,6057129,-0.5122066055651363,04614246057129,-121.83864,39.758697
04,61424,6057137,-0.5379504511050199,04614246057137,-121.84029,39.733406
04,61424,6109722,-0.4412472124727043,04614246109722,-121.79892,39.73401
04,61424,6111116,-0.5979998831953067,04614246111116,-121.87008,39.734043
04,61424,6113773,0.007928413935173753,04614246113773,-121.83277,39.724
04,61424,6116610,-0.6319718276446272,04614246116610,-121.7963,39.739563
04,61424,6119523,-0.15308566851058483,04614246119523,-121.86867,39.753393
04,61432,0433201,-0.7911400651239042,04614320433201,-121.80314,39.646267
04,61432,6003115,-0.8769064730954202,04614326003115,-121.80305,39.646016
04,61432,6105761,-0.5597863885297072,04614326105761,-121.80319,39.64663
04,61440,0121509,-0.28713609161271614,04614400121509,NA,NA
04,61499,6003198,-0.608818984335696,04614996003198,-121.65863,39.334408
04,61507,0110072,-0.35614019891090504,04615070110072,-121.52827,39.506033
04,61507,0129577,-0.44811586552115945,04615070129577,-121.57074,39.497602
04,61507,6003230,0.12081184097420268,04615076003230,-121.54051,39.501865
04,61507,6003255,0.1519399202575785,04615076003255,-121.54513,39.48036
04,61507,6003263,-0.12140095015799132,04615076003263,-121.49391,39.500163
04,61507,6003271,-0.10550230401006319,04615076003271,-121.53604,39.513249
04,61507,6094957,0.17751995253865385,04615076094957,-121.54213,39.500459
04,61515,0434803,-0.3999502330679602,04615150434803,-121.541,39.480408
04,61515,0435602,0.08871116015052677,04615150435602,-121.54591,39.514321
04,61515,0437566,-0.10280347389441197,04615150437566,-121.5696,39.521372
04,61523,0110510,-0.3069088322894766,04615230110510,-121.5343,39.4735
04,61523,6003289,0.005034049889729948,04615236003289,-121.53582,39.475394
04,61523,6003297,-0.0792081811170414,04615236003297,-121.54612,39.435873
04,61531,0110338,-0.9148792328856663,04615310110338,-121.81632,39.761657
04,61531,0437350,-0.13435569550982057,04615310437350,-121.6133,39.760995
04,61531,6003313,-0.2651492945047171,04615316003313,-121.61124,39.752234
04,61531,6003321,-0.28153887465112665,04615316003321,-121.6133,39.760995
04,61531,6003339,-6.929969345565268e-4,04615316003339,-121.57956,39.775666
04,61531,6105522,-0.23562326071501374,04615316105522,-121.60365,39.813742
04,61531,6112585,0.07950469907470321,04615316112585,-121.62634,39.756541
04,61531,6112999,-0.37568171905171543,04615316112999,-121.59585,39.772356
04,61531,6113526,0.11441289479215293,04615316113526,-121.5978,39.853672
04,61549,0102327,0.26511109221698675,04615490102327,-121.57484,39.519752
04,61549,6003354,0.0027284921011210177,04615496003354,-121.57871,39.525207
04,61549,6003370,0.020020993350328635,04615496003370,-121.58865,39.508886
04,75507,0433953,-0.4303017807120124,04755070433953,-121.6843,39.367009
04,75507,6003164,-0.10710930069652297,04755076003164,-121.69863,39.363082
04,75507,6003172,-0.3868333850954104,04755076003172,-121.69143,39.363168
05,10058,0530154,-0.14095829142497018,05100580530154,-120.69093,38.188474
05,61556,0532507,-0.5735840087678693,05615560532507,-120.55182,38.081079
05,61564,0531509,-0.12303991331987962,05615640531509,-120.68382,38.200477
05,61564,6003404,-0.10564912811918023,05615646003404,-120.70617,38.297389
05,61564,6003438,-0.590744665594757,05615646003438,-120.67293,38.195868
05,61564,6003446,-0.3803654424729192,05615646003446,-120.83182,38.190398
05,61564,6003453,0.14824013294409716,05615646003453,-120.5258,38.398949
05,61564,6105431,-0.2113779215742447,05615646105431,-120.76082,38.21449
05,61564,6108518,-0.14341036661587878,05615646108518,-120.86832,38.133734
05,61572,6003388,0.35828524941987316,05615726003388,-120.64248,37.982083
05,61572,6003461,-0.2728416847636967,05615726003461,-120.55032,38.075868
05,61580,6088975,-0.41215379507893224,05615806088975,-120.45466,38.133908
05,61580,6111884,-0.5457974203167149,05615806111884,-120.36548,38.201889
06,61598,0631259,-0.9243428112666779,06615980631259,-122.0207,39.2008
06,61598,6003495,-0.11450767922810624,06615986003495,-122.00907,39.207522
06,61598,6057152,-0.6058882238356229,06615986057152,-122.01397,39.210483
06,61606,0133223,0.08903668697877598,06616060133223,-122.19369,39.279781
06,61606,6003503,-0.41454070133817184,06616066003503,-122.19573,39.279807
06,61614,0635250,-0.44495041173036887,06616140635250,-122.05599,39.009385
06,61614,6003511,-0.3890924636692471,06616146003511,-122.05946,39.016534
06,61614,6103576,-0.5861001055446318,06616146103576,-122.05596,39.00717
07,10074,0129684,-0.5734243567781853,07100740129684,-122.31341,37.925768
07,10074,0134114,-0.48609870091132973,07100740134114,-122.02474,37.930236
07,10074,0731380,-0.29361607415626373,07100740731380,-121.96702,37.950133
07,61630,0730283,-0.15161804180574256,07616300730283,-122.09906,37.904313
07,61630,0731125,-0.11980334125683625,07616300731125,-122.12464,37.863519
07,61630,0733725,-0.5439650799074763,07616300733725,-122.05741,37.890139
07,61630,0734244,-0.4150966147941241,07616300734244,-122.14438,37.842329
07,61648,0100461,-0.3361482655827044,07616480100461,-121.79193,37.956286
07,61648,0100479,-0.28565073650765765,07616480100479,-121.79861,37.967182
07,61648,0106583,0.009775715138036649,07616480106583,-121.75269,37.968276
07,61648,0113761,-0.31844221307659204,07616480113761,-121.74155,38.000056
07,61648,0115063,-0.24114071634255474,07616480115063,-121.82097,38.011182
07,61648,0117218,-0.43267899945463273,07616480117218,-121.76817,37.94807
07,61648,0730259,-0.3729372345914036,07616480730259,-121.81619,38.016969
07,61648,0730465,-0.5851445628352528,07616480730465,-121.77968,37.96573
07,61648,0730861,-0.17501833548376208,07616480730861,-121.81786,38.005117
07,61648,6003578,-0.09909066500149319,07616486003578,-121.80135,37.995363
07,61648,6003594,-0.12071033917195167,07616486003594,-121.81252,38.007392
07,61648,6003602,0.3627541775863439,07616486003602,-121.80084,38.006877
07,61648,6003610,-0.48006512907819887,07616486003610,-121.81508,37.999713
07,61648,6003628,-0.20022003468011423,07616486003628,-121.81191,37.985569
07,61648,6003636,-0.39924111671484663,07616486003636,-121.85055,38.003797
07,61648,6057178,-0.043951843640320884,07616486057178,-121.81003,38.005453
07,61648,6061154,-0.28693253543096725,07616486061154,-121.81276,37.993577
07,61648,6084941,-0.057321636457724146,07616486084941,-121.83152,37.997343
07,61648,6108989,-0.11833797521725095,07616486108989,-121.79466,37.976287
07,61648,6110514,-0.16108184246167462,07616486110514,-121.7741,37.972258
07,61648,6113104,-0.29502197597421703,07616486113104,-121.76672,37.97057
07,61648,6115380,-0.015141622625648492,07616486115380,-121.76743,37.985644
07,61648,6115703,-0.2750146893200943,07616486115703,-121.82655,37.987596
07,61648,6117501,-0.24862603780806025,07616486117501,-121.7704,37.957726
07,61655,0102376,-0.2878034410143284,07616550102376,-121.73692,37.955203
07,61655,0108019,-0.5350589820587607,07616550108019,-121.70729,37.953946
07,61655,0110528,-0.35073968536241523,07616550110528,-121.75556,37.918977
07,61655,0127464,-0.5762930451370913,07616550127464,-121.68767,37.948437
07,61655,6003644,-0.3793295461933643,07616556003644,-121.70678,37.928421
07,61655,6003651,-0.5473343855621096,07616556003651,-121.69118,37.931347
07,61655,6070981,-0.2853284962361648,07616556070981,-121.69031,37.927778000000004
07,61655,6109730,-0.3060172722581792,07616556109730,-121.72943,37.929519
07,61655,6112718,-0.2713224805943336,07616556112718,-121.71454,37.937604
07,61655,6117410,-0.1475077574989843,07616556117410,-121.73572,37.939885
07,61655,6119754,-0.44967343059840165,07616556119754,-121.73836,37.918568
07,61663,0130930,-0.2794337034370942,07616630130930,-121.30658,38.129698
07,61663,6003669,-0.3211468174780126,07616636003669,-121.64149,37.878893
07,61663,6101943,-0.44804973598115877,07616636101943,-121.59667,37.900961
07,61663,6119838,-0.16526979342892031,07616636119838,-121.61919,37.908861
07,61697,0737023,-0.44535851771361495,07616970737023,-122.22105,38.052381
07,61697,6003685,-0.5108053057497814,07616976003685,-122.22224,38.052377
07,61697,6003701,-0.2194836953477509,07616976003701,-122.26963,38.029908
07,61705,0133769,-0.38651067940235406,07617050133769,-121.6205,37.935671
07,61705,6003719,-0.345610578606396,07617056003719,-121.66169,37.968769
07,61713,6003727,0.05698672056719813,07617136003727,-122.09233,37.863434
07,61713,6003743,-0.06290480154108072,07617136003743,-122.14166,37.90513
07,61713,6003750,-0.30972043054619725,07617136003750,-122.11825,37.888756
07,61713,6003768,-0.2700709036216229,07617136003768,-122.11318,37.887417
07,61713,6003792,-0.1917114085101617,07617136003792,-122.10248,37.908759
07,61721,0107797,-0.33054462976981774,07617210107797,-121.75251,37.925177
07,61721,0730457,-0.12165845346711535,07617210730457,-121.71575,37.969082
07,61721,0730572,-0.29520981764777454,07617210730572,-121.69596,37.935661
07,61721,0733980,-0.4942748460009803,07617210733980,-121.6951,37.934897
07,61721,0733998,-0.09150397640405086,07617210733998,-121.68167,37.919921
07,61739,0730440,-0.9449009158854095,07617390730440,-122.13226,38.014646
07,61739,0730549,-0.388597039012077,07617390730549,-122.13371,38.002496
07,61739,6003826,-0.2644145977819908,07617396003826,-122.11935,37.998922
07,61739,6003834,-0.20908031238395874,07617396003834,-122.12533,37.982299
07,61739,6003842,-0.35054171248945976,07617396003842,-122.09343,38.007486
